time UTC,lifetime,anode_height,cathode_height,drift_time
2021-01-19 04:00:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:01:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:03:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:05:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:06:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:08:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:10:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:11:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:13:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:15:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:16:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:18:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:20:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:21:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:23:20+00:00,0.0,0.0,0.0,0.0
2021-01-19 04:25:00+00:00,0.0,0.0,0.0,0.0
2021-01-19 04:26:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:28:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:30:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:31:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:33:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:35:00+00:00,0.0,0.0,0.0,0.0
2021-01-19 04:36:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:38:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:40:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:41:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:43:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:45:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:46:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:48:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:50:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:51:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:53:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:55:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:56:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 04:58:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:00:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:01:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:03:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:05:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:06:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:08:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:10:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:11:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:13:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:15:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 05:16:40+00:00,-1.0,-1.0,-1.0,-1.0
