time UTC,venturi_dp,venturi_flow,pt286,pt274,pt273,fv284,fv283,fv275,fv282,fv277,fv278,fv279,fv280
2020-11-06 09:48:00+00:00,22.182960510253906,0.9726716419442104,4.440508126068115,1.9839465618133545,4.399890566253662,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:49:40+00:00,21.816740036010742,0.96445616285591,4.443138359832764,1.9839465618133545,4.407780790710449,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:51:20+00:00,23.428096771240234,1.0001086288810042,4.439193009185791,1.9834206104278564,4.403046751403808,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:53:00+00:00,23.13511848449707,0.9937196445068759,4.439193009185791,1.9847356081008911,4.409621858978271,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:54:40+00:00,22.392921447753906,0.9773511708179261,4.441297291564942,1.9834206104278564,4.4056765083312985,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:56:20+00:00,22.759132385253906,0.985460959097838,4.444453476715088,1.9834206104278564,4.410411024475097,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:58:00+00:00,22.695655822753906,0.984059960854969,4.437877892303467,1.9839465618133545,4.406465673828125,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 09:59:40+00:00,21.255207061767578,0.951724154727507,4.442612408447266,1.9860507249832153,4.4051505569458005,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:01:20+00:00,48.086669921875,1.4408371851850836,4.466809510040283,1.9860507249832153,4.455649519348144,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:03:00+00:00,51.65117263793945,1.4939615594189364,4.510209320831299,1.9813164472579956,4.503782892608642,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:04:40+00:00,52.12970733642578,1.5009521325601165,4.504948853302002,1.9834206104278564,4.501153135681152,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:06:20+00:00,50.689247131347656,1.4798108231247515,4.502317665863037,1.9852616786956787,4.502467775726318,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:08:00+00:00,51.93438720703125,1.498102730713491,4.502317665863037,1.9786863327026367,4.496417665863037,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:09:40+00:00,51.65117263793945,1.4939615594189364,4.502317665863037,1.9839465618133545,4.4945765975952146,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:11:20+00:00,52.49591827392578,1.5062802045372023,4.498372315216065,1.9860507249832153,4.498522901916504,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:13:00+00:00,51.00664138793945,1.4844946849937812,4.495216130065918,1.9847356081008911,4.491946363830566,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:14:40+00:00,51.13847732543945,1.4864359348112686,4.495742081451416,1.9834206104278564,4.490631246948242,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:16:20+00:00,52.00762939453125,1.4991718414404733,4.495742081451416,1.9834206104278564,4.495891714477539,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:18:00+00:00,53.14045715332031,1.5156127873705592,4.49258589630127,1.9839465618133545,4.492472315216064,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:19:40+00:00,50.762489318847656,1.4808929736995895,4.491797207641602,1.9847356081008911,4.492472315216064,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
